ResourceSpeciesID,ConsumerSpeciesID,Type,System
111,122,Feeding,BSQ
114,122,Feeding,BSQ
119,122,Feeding,BSQ
121,122,Feeding,BSQ
136,122,Feeding,BSQ
138,122,Feeding,BSQ
211,122,Feeding,BSQ
24,125,Feeding,BSQ
34,125,Feeding,BSQ
36,125,Feeding,BSQ
37,125,Feeding,BSQ
38,125,Feeding,BSQ
39,125,Feeding,BSQ
40,125,Feeding,BSQ
41,125,Feeding,BSQ
42,125,Feeding,BSQ
43,125,Feeding,BSQ
45,125,Feeding,BSQ
53,125,Feeding,BSQ
88,125,Feeding,BSQ
89,125,Feeding,BSQ
91,125,Feeding,BSQ
96,125,Feeding,BSQ
97,125,Feeding,BSQ
98,125,Feeding,BSQ
100,125,Feeding,BSQ
101,125,Feeding,BSQ
103,125,Feeding,BSQ
105,125,Feeding,BSQ
108,125,Feeding,BSQ
109,125,Feeding,BSQ
111,125,Feeding,BSQ
114,125,Feeding,BSQ
119,125,Feeding,BSQ
121,125,Feeding,BSQ
136,125,Feeding,BSQ
138,125,Feeding,BSQ
211,125,Feeding,BSQ
10,128,Feeding,BSQ
111,130,Feeding,BSQ
114,130,Feeding,BSQ
118,130,Feeding,BSQ
119,130,Feeding,BSQ
121,130,Feeding,BSQ
125,130,Feeding,BSQ
136,130,Feeding,BSQ
138,130,Feeding,BSQ
211,130,Feeding,BSQ
34,131,Feeding,BSQ
111,131,Feeding,BSQ
114,131,Feeding,BSQ
211,131,Feeding,BSQ
34,134,Feeding,BSQ
111,134,Feeding,BSQ
114,134,Feeding,BSQ
211,134,Feeding,BSQ
24,136,Feeding,BSQ
34,136,Feeding,BSQ
36,136,Feeding,BSQ
37,136,Feeding,BSQ
38,136,Feeding,BSQ
39,136,Feeding,BSQ
40,136,Feeding,BSQ
41,136,Feeding,BSQ
42,136,Feeding,BSQ
89,136,Feeding,BSQ
91,136,Feeding,BSQ
96,136,Feeding,BSQ
97,136,Feeding,BSQ
98,136,Feeding,BSQ
100,136,Feeding,BSQ
101,136,Feeding,BSQ
103,136,Feeding,BSQ
105,136,Feeding,BSQ
107,136,Feeding,BSQ
108,136,Feeding,BSQ
110,136,Feeding,BSQ
111,137,Feeding,BSQ
114,137,Feeding,BSQ
119,137,Feeding,BSQ
136,137,Feeding,BSQ
211,137,Feeding,BSQ
21,138,Feeding,BSQ
24,138,Feeding,BSQ
25,138,Feeding,BSQ
26,138,Feeding,BSQ
29,138,Feeding,BSQ
34,138,Feeding,BSQ
36,138,Feeding,BSQ
37,138,Feeding,BSQ
38,138,Feeding,BSQ
39,138,Feeding,BSQ
40,138,Feeding,BSQ
41,138,Feeding,BSQ
42,138,Feeding,BSQ
43,138,Feeding,BSQ
45,138,Feeding,BSQ
66,138,Feeding,BSQ
89,138,Feeding,BSQ
92,138,Feeding,BSQ
100,138,Feeding,BSQ
103,138,Feeding,BSQ
104,138,Feeding,BSQ
111,140,Feeding,BSQ
114,140,Feeding,BSQ
119,140,Feeding,BSQ
136,140,Feeding,BSQ
138,140,Feeding,BSQ
211,140,Feeding,BSQ
12,145,Feeding,BSQ
14,145,Feeding,BSQ
15,145,Feeding,BSQ
16,145,Feeding,BSQ
75,145,Feeding,BSQ
91,145,Feeding,BSQ
96,145,Feeding,BSQ
97,145,Feeding,BSQ
98,145,Feeding,BSQ
101,145,Feeding,BSQ
105,145,Feeding,BSQ
107,145,Feeding,BSQ
86,145,Feeding,BSQ
90,145,Feeding,BSQ
94,145,Feeding,BSQ
94,145,Feeding,BSQ
24,146,Feeding,BSQ
25,146,Feeding,BSQ
26,146,Feeding,BSQ
29,146,Feeding,BSQ
34,146,Feeding,BSQ
35,146,Feeding,BSQ
36,146,Feeding,BSQ
37,146,Feeding,BSQ
38,146,Feeding,BSQ
39,146,Feeding,BSQ
40,146,Feeding,BSQ
41,146,Feeding,BSQ
42,146,Feeding,BSQ
43,146,Feeding,BSQ
45,146,Feeding,BSQ
53,146,Feeding,BSQ
66,146,Feeding,BSQ
77,146,Feeding,BSQ
79,146,Feeding,BSQ
88,146,Feeding,BSQ
89,146,Feeding,BSQ
91,146,Feeding,BSQ
94,146,Feeding,BSQ
96,146,Feeding,BSQ
97,146,Feeding,BSQ
98,146,Feeding,BSQ
101,146,Feeding,BSQ
105,146,Feeding,BSQ
107,146,Feeding,BSQ
108,146,Feeding,BSQ
109,146,Feeding,BSQ
114,146,Feeding,BSQ
119,146,Feeding,BSQ
136,146,Feeding,BSQ
138,146,Feeding,BSQ
114,147,Feeding,BSQ
118,147,Feeding,BSQ
119,147,Feeding,BSQ
121,147,Feeding,BSQ
122,147,Feeding,BSQ
125,147,Feeding,BSQ
136,147,Feeding,BSQ
138,147,Feeding,BSQ
118,148,Feeding,BSQ
121,148,Feeding,BSQ
4,152,Feeding,BSQ
7,152,Feeding,BSQ
8,152,Feeding,BSQ
10,152,Feeding,BSQ
11,152,Feeding,BSQ
14,152,Feeding,BSQ
15,152,Feeding,BSQ
16,152,Feeding,BSQ
17,152,Feeding,BSQ
18,152,Feeding,BSQ
19,152,Feeding,BSQ
20,152,Feeding,BSQ
48,152,Feeding,BSQ
75,152,Feeding,BSQ
91,152,Feeding,BSQ
96,152,Feeding,BSQ
97,152,Feeding,BSQ
98,152,Feeding,BSQ
101,152,Feeding,BSQ
105,152,Feeding,BSQ
107,152,Feeding,BSQ
94,152,Feeding,BSQ
94,152,Feeding,BSQ
118,153,Feeding,BSQ
119,153,Feeding,BSQ
121,153,Feeding,BSQ
122,153,Feeding,BSQ
125,153,Feeding,BSQ
128,153,Feeding,BSQ
136,153,Feeding,BSQ
138,153,Feeding,BSQ
88,156,Feeding,BSQ
94,156,Feeding,BSQ
114,156,Feeding,BSQ
